accession,average_molecular_weight,origin,state,carcinogenicity,kingdom,super_class,taxonomy_class,sub_class,targets_id,pred_polar_surface_area_ChemAxon,pred_formal_charge_ChemAxon,pred_acceptor_count_ChemAxon,pred_physiological_charge_ChemAxon,pred_polarizability_ChemAxon,pred_rotatable_bond_count_ChemAxon,pred_refractivity_ChemAxon,pred_donor_count_ChemAxon,Acidity,logP,solubility,Inhalation(ROE),Dermal(ROE),Ingestion(ROE),Injection(ROE),cellular_locations_Lysosome,cellular_locations_Endosome,cellular_locations_Centrosome,cellular_locations_Mitochondria,cellular_locations_Actin Filament,cellular_locations_Synaptic Vesicle,cellular_locations_Late endosome,cellular_locations_Endoplasmic reticulum membrane,cellular_locations_Cell junction,cellular_locations_Secretory Granule,cellular_locations_Nuclear Membrane,cellular_locations_Zymogen Granule,cellular_locations_Cytoplasm,cellular_locations_Microsome,cellular_locations_Membrane,cellular_locations_Cell surface,cellular_locations_Plasma Membrane,cellular_locations_Actin Cytoskeleton,cellular_locations_Nucleus,cellular_locations_Nerve Fiber,cellular_locations_Golgi apparatus,cellular_locations_Mitochondrial Matrix,cellular_locations_Microtubule,cellular_locations_Mitochondrion,cellular_locations_Soluble Fraction,cellular_locations_Nucleoplasm,cellular_locations_Nuclear Matrix,cellular_locations_Tubulin,cellular_locations_Membrane Fraction,cellular_locations_Mitochondrial Membrane,cellular_locations_Mitochondrial Intermembrane Space,cellular_locations_Perinuclear region,cellular_locations_Acrosome,cellular_locations_Extracellular,cellular_locations_Endocytic Vesicle,cellular_locations_Focal adhesion,cellular_locations_Ribosome,cellular_locations_Nucleolus,cellular_locations_Cytosol,cellular_locations_Apical Membrane,cellular_locations_Cell membrane,cellular_locations_Caveolae,cellular_locations_Intermediate Filament,cellular_locations_Cytoskeleton,cellular_locations_Sarcoplasmic Reticulum,cellular_locations_Kinetochore,cellular_locations_Endoplasmic reticulum,cellular_locations_Secretory vesicle,cellular_locations_Peroxisome,cellular_locations_Extracellular matrix,cellular_locations_Early endosome,cellular_locations_Basolateral Membrane,categories_Bacterial Toxin,categories_Synthetic Toxin,categories_Animal Toxin,categories_Household Toxin,categories_Uremic Toxin,categories_Protein,categories_Drug,categories_Pesticide,categories_Polychlorinated Biphenyl,categories_Food Toxin,categories_Natural Toxin,categories_Industrial/Workplace Toxin,categories_Pollutant,categories_Cigarette Toxin,categories_Fungal Toxin,categories_Airborne Pollutant,categories_Plant Toxin
T3D4456,399.445,2,1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,"['BE0000372', 'BE0000407', 'BE0000323', 'BE0000101', 'BE0000304', 'BE0002089', 'BE0000734', 'BE0000865', 'BE0004597', 'BE0001144']",182.63,1,10,1,40.37,7,96.23,5,2,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
T3D4461,132.1146,2,1,1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Branched fatty acids,['BE0000377'],74.6,0,4,-2,11.98,3,28.16,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
T3D4471,158.1519,2,1,1,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives,['BE0002217'],71.44,0,4,-1,15.07,5,36.98,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
T3D4476,222.674,1,1,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,2-halopyridines,"['BE0001122', 'BE0005460', 'BE0000717', 'BE0000738', 'BE0003549', 'BE0003536']",52.28,0,4,0,22.35,2,60.89,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4484,336.001,1,1,1,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphate triesters,"['BE0003549', 'BE0002130', 'BE0000368', 'BE0002638', 'BE0002793', 'BE0002433', 'BE0003541']",27.69,0,0,0,27.73,7,70.11,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4485,334.521,1,1,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Polyhalopyridines,"['BE0002180', 'BE0000426', 'BE0001777', 'BE0003549', 'BE0002130', 'BE0005480', 'BE0001160', 'BE0000058', 'BE0005543', 'BE0000240', 'BE0001598', 'BE0000123', 'BE0003536', 'BE0002433', 'BE0000736', 'BE0005464', 'BE0001085', 'BE0002638', 'BE0002090', 'BE0000703', 'BE0000956', 'BE0003543']",57.65,0,2,0,28.38,6,71.01,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4489,362.766,1,1,1,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Coumarins and derivatives,"['BE0000267', 'BE0001653', 'BE0003633', 'BE0003634', 'BE0000322', 'BE0003625', 'BE0000535', 'BE0003626', 'BE0003627', 'BE0003628', 'BE0003629', 'BE0002437', 'BE0003721', 'BE0003683', 'BE0002362', 'BE0003543', 'BE0003549', 'BE0003536', 'BE0003541', 'BE0003611', 'BE0002793', 'BE0002433', 'BE0003433', 'BE0000717', 'BE0005320', 'BE0002638', 'BE0000443', 'BE0000736', 'BE0000779', 'BE0001777', 'BE0000886', 'BE0000956', 'BE0001074', 'BE0000663', 'BE0005490', 'BE0000703']",53.99,0,1,0,34.61,6,89.93,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4490,324.786,1,1,1,Organic compounds,Organoheterocyclic compounds,Azoles,Phenylimidazoles,"['BE0001122', 'BE0000738', 'BE0000934', 'BE0005480', 'BE0000240', 'BE0002433', 'BE0002887', 'BE0002793', 'BE0000956', 'BE0000717', 'BE0001114', 'BE0003536', 'BE0003543', 'BE0001209', 'BE0000886', 'BE0000687', 'BE0005461', 'BE0000182', 'BE0002088', 'BE0005537', 'BE0005443', 'BE0005490', 'BE0004545', 'BE0005492']",78.99,0,4,0,31.27,1,81.57,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4494,288.2799,1,1,1,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Dialkyl phosphates,"['BE0005805', 'BE0000934', 'BE0004734', 'BE0000984', 'BE0002189', 'BE0005480', 'BE0000240', 'BE0000703', 'BE0003536', 'BE0003549', 'BE0000886', 'BE0002638']",70.54,0,3,0,29.5,7,72.77,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
T3D4500,233.095,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,N-phenylureas,"['BE0003721', 'BE0000956', 'BE0001004', 'BE0002433', 'BE0003541', 'BE0003549', 'BE0002638', 'BE0000886']",32.34,0,1,0,22.52,1,59.0,1,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4506,336.818,1,1,1,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids","Linear 1,3-diarylpropanoids","['BE0000123', 'BE0000792', 'BE0002362', 'BE0003536', 'BE0004729', 'BE0003611', 'BE0003549', 'BE0003543', 'BE0002638', 'BE0005460', 'BE0000717', 'BE0005319', 'BE0000956', 'BE0000368', 'BE0002433', 'BE0001777']",54.5,0,3,0,35.24,6,107.17,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T3D4509,248.185,1,1,1,Organic compounds,Organoheterocyclic compounds,Benzodioxoles,Benzodioxoles,"['BE0000956', 'BE0002433', 'BE0000412', 'BE0000078', 'BE0005458', 'BE0001196', 'BE0000717', 'BE0000886', 'BE0003721', 'BE0003541', 'BE0001040', 'BE0005493', 'BE0000663', 'BE0003543', 'BE0001340', 'BE0002638', 'BE0000123', 'BE0000132', 'BE0003549']",58.04,0,3,0,21.28,1,55.51,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
